scientificName,nameJa,assetId,status,author,source,photoUrl,licenseName,licenseUrl,credit
Abies balsamea,バルサムモミ,inat-233184601,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/233184601,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Abies balsamea [Abies balsamea] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/233184601. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Acanthaster planci,オニヒトデ,commons-198525317,primary_candidate,John Hepburn,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acanthaster_planci_460468243_(closeup).jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Acanthaster planci 460468243 (closeup) [Acanthaster planci] — John Hepburn / Wikimedia Commons, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0); source: https://commons.wikimedia.org/wiki/File:Acanthaster_planci_460468243_(closeup).jpg. Original attribution: https://www.inaturalist.org/photos/460468243. Resized and re-encoded; no subject alteration."
Acanthaster planci,オニヒトデ,inat-623563336,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/623563336,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Acanthaster planci [Acanthaster planci] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/623563336. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Acer campestre,コブカエデ,commons-137917954,supplementary_only,Josep Gesti,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Acer_campestre,_Sant_Sadurn%C3%AD_d%27Osormort.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Acer campestre, Sant Sadurní d'Osormort [Acer campestre] — Josep Gesti / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Acer_campestre,_Sant_Sadurn%C3%AD_d%27Osormort.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer campestre,コブカエデ,commons-25967918,supplementary_only,Galloramenu,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_campestre_in_Appennino2.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Acer campestre in Appennino2 [Acer campestre] — Galloramenu / Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0); source: https://commons.wikimedia.org/wiki/File:Acer_campestre_in_Appennino2.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer campestre,コブカエデ,inat-10778,supplementary_only,Peter O'Connor,iNaturalist,https://www.inaturalist.org/photos/10778,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Acer campestre [Acer campestre] — Peter O'Connor / iNaturalist, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/); source: https://www.inaturalist.org/photos/10778. Original attribution: (c) Peter O'Connor, some rights reserved (CC BY-SA). Resized and re-encoded; no subject alteration."
Acer negundo,トネリコバノカエデ,commons-159868526,supplementary_only,"Agnieszka Kwiecień, Nova",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_negundo_Klon_jesionolistny_2023-04-15_So%C5%82tysowice_01.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Acer negundo Klon jesionolistny 2023-04-15 Sołtysowice 01 [Acer negundo] — Agnieszka Kwiecień, Nova / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Acer_negundo_Klon_jesionolistny_2023-04-15_So%C5%82tysowice_01.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer negundo,トネリコバノカエデ,commons-98146340,supplementary_only,"Agnieszka Kwiecień, Nova",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_negundo_Klon_jesionolistny_2020-04-19_04.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Acer negundo Klon jesionolistny 2020-04-19 04 [Acer negundo] — Agnieszka Kwiecień, Nova / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Acer_negundo_Klon_jesionolistny_2020-04-19_04.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer negundo,トネリコバノカエデ,inat-486113480,supplementary_only,Jay Pruett,iNaturalist,https://www.inaturalist.org/photos/486113480,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Acer negundo [Acer negundo] — Jay Pruett / iNaturalist, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/486113480. Original attribution: (c) Jay Pruett, some rights reserved (CC BY), uploaded by Jay Pruett. Resized and re-encoded; no subject alteration."
Acer pensylvanicum,,inat-710452510,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/710452510,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Acer pensylvanicum [Acer pensylvanicum] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/710452510. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Acer platanoides,ノルウェーカエデ,commons-68493436,supplementary_only,Salicyna,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_platanoides_2018-04-20_9217.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Acer platanoides 2018-04-20 9217 [Acer platanoides] — Salicyna / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Acer_platanoides_2018-04-20_9217.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer platanoides,ノルウェーカエデ,commons-810277,supplementary_only,Martin Bobka (= Martin120 ),Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Spitz-Ahorn(mbo).jpg,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,"Spitz-Ahorn(mbo) [Acer platanoides] — Martin Bobka (= Martin120 ) / Wikimedia Commons, CC BY-SA 2.5 (https://creativecommons.org/licenses/by-sa/2.5); source: https://commons.wikimedia.org/wiki/File:Spitz-Ahorn(mbo).jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer platanoides,ノルウェーカエデ,inat-277389111,supplementary_only,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/277389111,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Acer platanoides [Acer platanoides] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/277389111. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Acer pseudoplatanus,セイヨウカジカエデ,commons-115541735,primary_candidate,Janusz Krzyżek (Januszk57),Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Krak%C3%B3w_Park_Czecz%C3%B3w_pomnik_przyrody_Klon_jawor_Acer_pseudoplatanus.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Kraków Park Czeczów pomnik przyrody Klon jawor Acer pseudoplatanus [Acer pseudoplatanus] — Janusz Krzyżek (Januszk57) / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Krak%C3%B3w_Park_Czecz%C3%B3w_pomnik_przyrody_Klon_jawor_Acer_pseudoplatanus.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer pseudoplatanus,セイヨウカジカエデ,commons-2713300,primary_candidate,Willow,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_pseudoplatanus_005.jpg,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,"Acer pseudoplatanus 005 [Acer pseudoplatanus] — Willow / Wikimedia Commons, CC BY 2.5 (https://creativecommons.org/licenses/by/2.5); source: https://commons.wikimedia.org/wiki/File:Acer_pseudoplatanus_005.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer pseudoplatanus,セイヨウカジカエデ,inat-195277670,supplementary_only,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/195277670,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Acer pseudoplatanus [Acer pseudoplatanus] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/195277670. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Acer rubrum,アカカエデ,commons-127674513,supplementary_only,"Ayotte, Gilles, 1948-",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_rubrum_15-p.bot-a.rubrum-114.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Acer rubrum [Acer rubrum] — Ayotte, Gilles, 1948- / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Acer_rubrum_15-p.bot-a.rubrum-114.jpg. Original attribution: Bibliothèque de l'Université Laval. Resized and re-encoded; no subject alteration."
Acer rubrum,アカカエデ,commons-131097233,supplementary_only,Nichole Ouellette,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_rubrum_042.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Acer rubrum 042 [Acer rubrum] — Nichole Ouellette / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Acer_rubrum_042.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Acer rubrum,アカカエデ,inat-371065093,supplementary_only,mefisher,iNaturalist,https://www.inaturalist.org/photos/371065093,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Acer rubrum [Acer rubrum] — mefisher / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/371065093. Original attribution: no rights reserved, uploaded by mefisher. Resized and re-encoded; no subject alteration."
